review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000040,ORD-20251013-806955,CUST-10477,REST-AUH-001,Great food overall. Sweet Lassi  Gulab Jamun (2 pcs)  Samosa (2 pcs)  Vegetable Biryani  and Aloo Tikki Chaat were tasty  especially the Sweet Lassi. Would order again!,4,2025-10-19T21:56:49.174781
REV-000042,ORD-20251020-307073,CUST-10264,REST-DXB-002,Wow! Just wow! Chicken Tikka Masala  Tandoori Roti  Palak Paneer  Chicken 65  and Mango Lassi were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2025-10-21T11:45:14.174781
REV-000041,ORD-20251019-130889,CUST-10053,REST-SHJ-001,Really good Butter Chicken  Rasmalai (2 pcs)  Fish Curry  Sweet Lassi  and Malai Kofta! The Sweet Lassi was delicious. Slight delay in delivery but food quality made up for it.,4,2025-10-21T13:03:11.174781
REV-000047,ORD-20251103-621931,CUST-10440,REST-AUH-001,Absolutely amazing Fish Curry! The Fish Curry was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-05T15:49:08.174781
REV-000043,ORD-20251101-140145,CUST-10086,REST-DXB-001,Great food overall. Aloo Tikki Chaat were tasty  especially the Aloo Tikki Chaat. Would order again!,4,2025-11-07T10:40:24.174781
REV-000046,ORD-20251103-614716,CUST-10163,REST-SHJ-001,Exceptional quality! Ordered Palak Paneer and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2025-11-07T15:27:42.174781
REV-000049,ORD-20251107-120323,CUST-10224,REST-DXB-002,Pleasant meal! Lamb Rogan Josh arrived warm. Lamb Rogan Josh was tasty though not exceptional. Would order again.,4,2025-11-09T12:47:58.174781
REV-000044,ORD-20251102-376569,CUST-10460,REST-DXB-001,Exceptional quality! Ordered Tandoori Roti  Sweet Lassi  Mango Lassi  and Samosa (2 pcs) and everything was delicious. The Mango Lassi melted in my mouth. Perfect!,5,2025-11-09T15:29:39.174781
REV-000045,ORD-20251102-231605,CUST-10247,REST-AUH-002,Exceptional quality! Ordered Paneer Tikka and Garlic Naan and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2025-11-09T16:11:28.174781
REV-000050,ORD-20251109-201373,CUST-10472,REST-DXB-001,Outstanding experience! The Chole Bhature  Dal Makhani  Samosa (2 pcs)  and Aloo Tikki Chaat exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2025-11-10T13:32:55.174781
REV-000048,ORD-20251104-277969,CUST-10060,REST-AUH-002,Shocking! Garlic Naan bore no resemblance to the menu description. Garlic Naan was inedible. Refund demanded!,1,2025-11-11T19:10:36.174781
REV-000051,ORD-20251112-771562,CUST-10139,REST-DXB-001,Exceptional quality! Ordered Chole Bhature  Paneer Tikka  Paneer Butter Masala  and Chicken Tikka Masala and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2025-11-16T17:04:06.174781
REV-000052,ORD-20251116-547162,CUST-10064,REST-DXB-001,Exceptional quality! Ordered Fresh Lime Soda  Paneer Butter Masala  Butter Naan  and Paneer Tikka and everything was delicious. The Butter Naan melted in my mouth. Perfect!,5,2025-11-17T16:07:13.174781
REV-000055,ORD-20251124-132961,CUST-10320,REST-SHJ-001,Wow! Just wow! Paneer Butter Masala  Garlic Naan  Vegetable Biryani  Dal Makhani  and Chicken Biryani were all fantastic. Dal Makhani was particularly memorable. Can't wait to order again!,5,2025-11-25T21:50:40.174781
REV-000053,ORD-20251121-642618,CUST-10463,REST-DXB-002,Decent food but nothing special. Fresh Lime Soda  Vegetable Biryani  Malai Kofta  Naan  and Chicken 65 were okay. Naan lacked the punch I expected.,3,2025-11-26T18:04:54.174781
REV-000056,ORD-20251125-869461,CUST-10316,REST-DXB-002,Solid experience. Butter Naan  Jeera Rice  Chicken 65  and Butter Chicken were well-prepared. Butter Naan had great flavor. Minor issues with packaging.,4,2025-11-28T12:37:03.174781
REV-000054,ORD-20251122-780202,CUST-10113,REST-DXB-001,Below expectations. Paneer Tikka  Lamb Rogan Josh  Gulab Jamun (2 pcs)  Malai Kofta  and Butter Chicken were underwhelming. Butter Chicken was overcooked and dry.,2,2025-11-28T18:54:13.174781
REV-000057,ORD-20251129-284986,CUST-10063,REST-DXB-002,Solid experience. Jeera Rice  Mango Lassi  and Aloo Tikki Chaat were well-prepared. Aloo Tikki Chaat had great flavor. Minor issues with packaging.,4,2025-12-05T11:58:42.174781
REV-000058,ORD-20251203-598063,CUST-10237,REST-AUH-002,Solid experience. Sweet Lassi and Aloo Tikki Chaat were well-prepared. Sweet Lassi had great flavor. Minor issues with packaging.,4,2025-12-07T21:03:06.174781
REV-000060,ORD-20251209-243014,CUST-10114,REST-DXB-002,Pleasant meal! Jeera Rice  Lamb Rogan Josh  Tandoori Roti  and Naan arrived warm. Lamb Rogan Josh was tasty though not exceptional. Would order again.,4,2025-12-11T22:51:40.174781
REV-000061,ORD-20251210-432851,CUST-10383,REST-AUH-001,Pleasant meal! Masala Chai arrived warm. Masala Chai was tasty though not exceptional. Would order again.,4,2025-12-12T16:11:58.174781
REV-000059,ORD-20251206-925951,CUST-10037,REST-AUH-001,Outstanding experience! The Butter Naan  Fish Curry  Chole Bhature  and Butter Chicken exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2025-12-12T21:50:32.174781
REV-000063,ORD-20251212-720026,CUST-10237,REST-AUH-002,Wow! Just wow! Butter Naan and Jeera Rice were all fantastic. Jeera Rice was particularly memorable. Can't wait to order again!,5,2025-12-14T14:57:25.174781
REV-000064,ORD-20251213-357976,CUST-10330,REST-AUH-002,Mixed feelings. Garlic Naan  Vegetable Biryani  and Aloo Tikki Chaat were acceptable. Garlic Naan was decent but portion was small for the price.,3,2025-12-14T20:21:18.174781
REV-000062,ORD-20251211-387098,CUST-10210,REST-DXB-002,Below expectations. Gajar Halwa  Naan  and Gulab Jamun (2 pcs) were underwhelming. Naan was overcooked and dry.,2,2025-12-16T18:21:52.174781
REV-000065,ORD-20251214-451593,CUST-10073,REST-SHJ-001,Good quality food. Chicken Seekh Kebab were nicely done. Chicken Seekh Kebab could have been slightly spicier but still good!,4,2025-12-17T21:42:39.174781
REV-000066,ORD-20251223-427311,CUST-10411,REST-DXB-002,Good quality food. Chicken Biryani and Chicken 65 were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2025-12-28T14:48:52.174781
REV-000068,ORD-20251228-787088,CUST-10483,REST-DXB-002,Pleasant meal! Chicken Tikka Masala and Mango Lassi arrived warm. Chicken Tikka Masala was tasty though not exceptional. Would order again.,4,2025-12-29T17:12:50.174781
REV-000067,ORD-20251227-392808,CUST-10491,REST-AUH-001,Great food overall. Paneer Tikka were tasty  especially the Paneer Tikka. Would order again!,4,2025-12-31T14:30:11.174781
REV-000071,ORD-20251231-995758,CUST-10432,REST-AUH-001,Best Indian food in UAE! Paneer Butter Masala  Malai Kofta  and Naan were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-01-02T11:54:27.174781
REV-000069,ORD-20251228-790043,CUST-10318,REST-AUH-002,Perfect in every way! Paneer Butter Masala and Chicken Biryani were all excellent. Chicken Biryani stood out with its rich  authentic taste.,5,2026-01-02T22:19:23.174781
REV-000070,ORD-20251231-732660,CUST-10461,REST-AUH-002,Mixed feelings. Samosa (2 pcs)  Chicken Biryani  Butter Chicken  Mango Lassi  and Dal Makhani were acceptable. Dal Makhani was decent but portion was small for the price.,3,2026-01-04T10:29:46.174781
REV-000072,ORD-20251231-381768,CUST-10139,REST-DXB-001,Great food overall. Tandoori Roti  Chole Bhature  Dal Makhani  Paneer Butter Masala  and Chicken Biryani were tasty  especially the Chicken Biryani. Would order again!,4,2026-01-07T19:25:34.174781
REV-000076,ORD-20260105-255879,CUST-10402,REST-AUH-002,Exceptional quality! Ordered Chicken Biryani  Gulab Jamun (2 pcs)  Samosa (2 pcs)  and Butter Chicken and everything was delicious. The Butter Chicken melted in my mouth. Perfect!,5,2026-01-07T19:42:44.174781
REV-000073,ORD-20260101-421378,CUST-10219,REST-DXB-002,Solid experience. Paneer Tikka  Butter Naan  Sweet Lassi  and Palak Paneer were well-prepared. Paneer Tikka had great flavor. Minor issues with packaging.,4,2026-01-08T22:07:19.174781
REV-000077,ORD-20260106-769805,CUST-10458,REST-DXB-001,Absolutely amazing Kulfi and Fresh Lime Soda! The Fresh Lime Soda was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-09T16:58:43.174781
REV-000074,ORD-20260103-650011,CUST-10420,REST-AUH-002,Really good Paneer Butter Masala  Naan  Chicken Seekh Kebab  Jeera Rice  and Butter Chicken! The Chicken Seekh Kebab was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-09T17:25:32.174781
REV-000075,ORD-20260104-352577,CUST-10302,REST-AUH-001,Average experience. Chicken Biryani  Butter Naan  and Samosa (2 pcs) were fine but Butter Naan was a bit bland. Room for improvement.,3,2026-01-10T19:27:08.174781
REV-000078,ORD-20260110-933648,CUST-10246,REST-AUH-002,Unsatisfactory. Chicken Tikka Masala  Butter Chicken  and Aloo Tikki Chaat were not fresh. Butter Chicken tasted reheated. Won't order again.,2,2026-01-14T11:03:11.174781
